day,time_ET,symbol,setup,grade,entry,stop,t1,rvol,off_high_pct,outcome,scaled_pnl_pct,mae_pct,mfe_pct
2026-07-21,09:37,SKHU,opening_drive,B,21.32,21.00,22.00,6.9,0.0,invalidated,-1.80,-1.50,0.05
2026-07-21,09:46,AEHR,break_of_structure,B,91.85,90.47,100.70,2.2,0.0,invalidated,-1.80,-1.89,0.19
2026-07-21,09:47,AGEN,opening_range_break,C,5.12,5.04,5.32,0.2,-1.0,target_hit,4.86,0.00,4.49
2026-07-21,09:54,CRWG,break_of_structure,B,17.98,17.71,18.60,3.9,-0.4,invalidated,-1.80,-1.89,0.28
2026-07-21,10:04,VIVK,opening_range_break,B,8.12,7.35,10.00,9.1,-6.1,invalidated,-9.79,-16.38,18.60
2026-07-21,10:19,AGEN,break_of_structure,C,5.42,5.34,6.00,0.2,0.0,expired,5.22,-1.29,8.86
2026-07-21,10:57,EROC,hod_break,C,12.80,12.56,,0.7,-0.3,expired,3.59,-0.39,8.59
2026-07-21,12:12,CRWG,opening_range_break,C,18.51,18.23,19.30,1.3,-0.2,target_hit,1.83,0.00,4.59
2026-07-22,09:39,SMCX,opening_drive,B+,8.79,8.65,9.16,6.8,-0.9,target_hit,4.75,-0.11,4.21
2026-07-22,09:43,SMCI,opening_drive,B,30.48,30.02,31.50,18.7,-0.6,target_hit,3.91,-0.13,3.67
2026-07-22,09:50,INLF,opening_range_break,B+,3.89,3.79,4.42,9.1,-3.5,invalidated,-2.85,-11.05,0.26
2026-07-22,09:50,SMCX,hod_break,B+,9.21,8.98,10.00,3.7,-0.4,invalidated,-2.77,-2.61,7.27
2026-07-22,10:16,BIYA,break_of_structure,C,3.72,3.66,4.00,0.1,-1.8,target_hit,3.52,-0.81,9.68
2026-07-22,10:22,SMCI,hod_break,A-,31.70,30.82,33.81,10.5,-0.3,invalidated,-3.06,-2.84,1.83
2026-07-22,11:42,OTLY,break_of_structure,C,12.40,12.21,,4.2,-0.2,invalidated,-1.80,-1.61,0.00
2026-07-22,13:14,PN,break_of_structure,C,5.05,4.97,5.30,8.6,0.0,invalidated,-1.84,-2.13,1.39
2026-07-23,09:38,BATL,opening_drive,below,1.71,1.68,,3.6,0.0,invalidated,-1.80,-2.34,0.58
2026-07-23,10:31,ADVB,opening_range_break,C,18.48,17.56,20.50,1.1,-11.5,invalidated,-5.29,-6.33,7.74
2026-07-23,11:18,NVEC,opening_range_break,C,127.24,125.33,144.50,1.4,-1.1,expired,6.09,-0.94,7.20
2026-07-23,12:10,NVEC,hod_break,C,132.40,129.97,,1.4,-0.1,invalidated,-2.13,-2.04,0.19
2026-07-23,12:52,SKYQ,opening_range_break,C,5.55,5.47,6.35,0.8,-11.5,invalidated,-1.80,-2.52,11.89
2026-07-23,13:15,BATL,opening_range_break,C,1.76,1.73,1.82,1.3,-2.8,target_hit,1.40,-1.14,3.41
2026-07-24,07:12,SKYQ,break_of_structure,B,6.33,6.14,7.00,2.1,-1.9,invalidated,-3.97,-3.79,1.58
2026-07-27,09:37,VEEE,opening_drive,below,18.49,17.78,20.00,1.7,-3.5,invalidated,-4.15,-4.65,3.84
2026-07-27,13:18,WLDS,opening_range_break,C,3.95,3.87,4.33,0.6,-1.2,invalidated,-2.35,-3.29,1.27
2026-07-27,13:28,NXTC,break_of_structure,C,5.51,5.42,5.71,0.1,-0.7,invalidated,-1.80,-1.91,0.00
2026-07-28,04:17,EHGO,break_of_structure,B,2.54,2.46,2.84,41.9,-4.2,invalidated,-4.21,-7.87,0.00
2026-07-28,10:09,LCID,opening_range_break,C,6.71,6.61,6.96,0.6,0.0,invalidated,-1.80,-2.09,1.64
2026-07-28,10:54,PMN,opening_range_break,B,14.50,14.26,15.00,6.0,-2.6,target_hit,1.42,-0.76,3.45
2026-07-28,11:41,PMN,hod_break,C,16.80,15.72,,4.7,0.0,invalidated,-6.73,-6.67,2.32
2026-07-28,13:37,LCID,hod_break,C,6.97,6.76,7.79,0.5,0.0,target_hit,10.79,0.00,12.20
2026-07-29,08:25,VIVK,break_of_structure,B,2.84,2.72,3.50,8.0,-3.4,invalidated,-5.25,-5.63,4.93
2026-07-29,09:31,VRRM,break_of_structure,B,5.74,5.65,5.99,41.6,-4.0,invalidated,-1.83,-4.53,0.00
2026-07-29,09:34,OTLK,opening_drive,B,0.93,0.92,0.97,2.5,-0.9,target_hit,5.76,0.00,5.38
2026-07-29,09:36,BRAI,opening_drive,C,7.34,7.11,7.92,31.2,-2.1,invalidated,-3.42,-3.68,2.86
2026-07-29,09:47,OTLK,opening_range_break,C,1.12,1.10,1.17,1.8,0.0,invalidated,-2.25,-9.82,0.00
2026-07-29,10:00,SKYQ,break_of_structure,B+,4.31,4.23,4.59,1.9,-4.4,invalidated,-2.04,-2.32,0.46
2026-07-29,10:06,STFS,opening_range_break,B,5.91,5.52,7.00,110.1,-3.7,invalidated,-6.88,-12.18,3.55
2026-07-29,10:14,CLW,opening_range_break,B,21.31,20.99,22.00,10.7,-0.4,invalidated,-1.80,-1.64,0.00
2026-07-29,11:02,BATL,opening_range_break,C,1.49,1.47,1.54,1.2,0.0,invalidated,-1.80,-2.01,0.00
2026-07-29,13:18,CLW,break_of_structure,C,21.75,21.42,,5.5,0.0,invalidated,-1.80,-1.56,1.52
2026-07-30,04:30,NBIS,break_of_structure,A-,151.20,146.66,168.37,18.7,-0.4,target_hit,12.10,0.00,11.72
2026-07-30,05:16,NBIS,break_of_structure,A-,154.25,149.62,168.36,10.7,-0.4,target_hit,9.88,-0.19,9.51
2026-07-30,07:48,CMCO,hod_break,C,18.73,17.90,,20.4,-0.4,expired,8.89,-2.51,13.77
2026-07-30,08:22,BE,break_of_structure,C,178.05,172.71,189.50,0.7,-0.0,target_hit,6.79,-0.59,6.71
2026-07-30,08:25,PN,break_of_structure,B,16.88,15.69,19.50,9.7,-3.3,invalidated,-7.98,-10.43,7.41
2026-07-30,09:11,CRWG,break_of_structure,B+,13.12,12.73,14.00,2.1,-0.2,target_hit,6.57,-1.45,7.47
2026-07-30,09:13,CMCO,hod_break,C,19.06,18.49,,42.9,-1.2,expired,7.00,-1.36,11.80
2026-07-30,09:32,CRWG,opening_drive,C,13.76,13.55,14.29,16.2,-2.4,invalidated,-1.80,-2.11,0.00
2026-07-30,09:32,IREN,opening_drive,C,33.53,33.03,34.80,3.0,-0.6,target_hit,5.27,-0.39,4.21
2026-07-30,09:33,NUWE,opening_drive,C,6.02,5.81,6.50,53.7,-2.6,invalidated,-3.74,-11.30,0.17
2026-07-30,09:33,BE,opening_drive,B+,189.62,186.78,229.90,3.9,-0.7,expired,15.16,-0.39,16.75
2026-07-30,09:33,FCEL,opening_drive,B,20.29,19.99,20.90,2.1,0.0,target_hit,4.17,-0.44,3.84
2026-07-30,09:35,SKHU,opening_drive,C,14.12,13.91,15.00,5.4,-0.1,invalidated,-1.80,-2.34,1.49
2026-07-30,09:45,BRUN,break_of_structure,C,18.19,17.92,19.00,1.9,0.0,invalidated,-1.80,-2.36,0.00
2026-07-30,09:49,IREN,hod_break,B,36.13,35.24,38.00,2.6,-0.5,target_hit,6.24,-0.58,5.54
2026-07-30,09:59,INLF,opening_range_break,C,5.14,5.03,5.40,0.7,-0.6,target_hit,5.71,-1.36,7.00
2026-07-30,12:04,BRUN,opening_range_break,C,18.53,18.25,20.12,1.0,-1.9,target_hit,7.93,-0.59,9.01
2026-07-30,12:57,FCEL,hod_break,C,23.04,22.65,,1.0,-0.1,expired,2.56,-0.91,3.13
2026-07-31,05:56,REPL,break_of_structure,B,12.06,11.70,13.00,41.1,-1.7,target_hit,2.86,-0.50,7.79
2026-07-31,06:46,REPL,break_of_structure,B+,12.77,12.39,14.00,58.0,-2.7,invalidated,-3.97,-3.29,2.59
2026-07-31,09:33,SKHU,opening_drive,C,18.77,18.49,19.41,10.7,-1.3,invalidated,-1.80,-3.62,1.23
2026-07-31,10:28,TGHL,opening_range_break,C,1.06,1.03,1.23,0.7,-4.5,invalidated,-3.18,-4.72,7.55
2026-07-31,11:56,SHPH,opening_range_break,C,3.21,3.16,4.00,0.1,-1.2,target_hit,16.30,0.00,25.23
2026-07-31,12:04,FCUV,opening_range_break,C,12.95,12.29,14.60,242.9,-26.4,invalidated,-5.36,-8.88,0.39
